cena,Poznámka,ID,Aktualizace,Stavba,Stav,Vlasnictví,Podlaží,Užitná,podlahová,zahrada,Balkón,Terasa,Sklep,Parkování,Garáž,nastěhování,Voda,Topení,Plyn,Telekomunikace,Doprava,Komunikace,Energetika,Bezbariérový,Vybavení,Výtah
6993295, včetně DPH, E1.3.08, 17.01.2023, Smíšená, V rekonstrukci,,3,43,42,,3,,2,,,, Dálkový vodovod,,, Kabelové rozvody, MHD, Asfaltová, Třída B - Velmi úsporná č. 78/2013 Sb. podle vyhlášky,,,
8933100, včetně DPH, E1.4.20, 14.01.2023, Smíšená, V rekonstrukci,,4,58,55,,3,,3,,,, Dálkový vodovod,,, Kabelové rozvody, MHD, Asfaltová, Třída B - Velmi úsporná č. 78/2013 Sb. podle vyhlášky,,,
15511430, včetně DPH, E1.1.03, Včera, Smíšená, V rekonstrukci,,1,99,99,23,,11,3,,,, Dálkový vodovod,,, Kabelové rozvody, MHD, Asfaltová, Třída B - Velmi úsporná č. 78/2013 Sb. podle vyhlášky,,,
15690000,,, 10.01.2023, Skeletová, Velmi dobrý,,3,176,109,,,72,,,,, Dálkový vodovod, Ústřední plynové, Plynovod," Telefon, Internet, Satelit, Kabelová televize, Kabelové rozvody", MHD, Asfaltová,,, Částečně,
9101400, včetně DPH, E1.5.20, 18.01.2023, Smíšená, V rekonstrukci,,5,58,55,,3,,3,,,, Dálkový vodovod,,, Kabelové rozvody, MHD, Asfaltová, Třída B - Velmi úsporná č. 78/2013 Sb. podle vyhlášky,,,
8933100, včetně DPH, E1.4.20, 14.01.2023, Smíšená, V rekonstrukci,,4,58,55,,3,,3,,,, Dálkový vodovod,,, Kabelové rozvody, MHD, Asfaltová, Třída B - Velmi úsporná č. 78/2013 Sb. podle vyhlášky,,,
15511430, včetně DPH, E1.1.03, Včera, Smíšená, V rekonstrukci,,1,99,99,23,,11,3,,,, Dálkový vodovod,,, Kabelové rozvody, MHD, Asfaltová, Třída B - Velmi úsporná č. 78/2013 Sb. podle vyhlášky,,,
6600000,, 202360, Dnes, Cihlová, Velmi dobrý,,3,57,,,,,,,,,, Ústřední plynové,,,,, Třída C - Úsporná č. 78/2013 Sb. podle vyhlášky,,,
8951172,, LHVR-145-NVSB, Dnes, Smíšená, Novostavba,,4,47,50,,,,,,,,,,,,,, Třída B - Velmi úsporná č. 78/2013 Sb. podle vyhlášky,,,
19990000,, LK142319, Dnes, Cihlová, Velmi dobrý,,1,167,167,,,,12, 2, 2,, Dálkový vodovod,,,,,,,,,
7100000," včetně provize, včetně právního servisu", 00305, Dnes, Cihlová, Novostavba,,3,58,,,,,,,,, Dálkový vodovod, Ústřední dálkové,," Internet, Kabelové rozvody"," Vlak, Dálnice, Silnice, MHD, Autobus", Asfaltová, Třída G - Mimořádně nehospodárná,, Částečně,
4600000," včetně provize, včetně právního servisu", 01721190, Dnes, Panelová, Velmi dobrý,,3,42,,,,,,,,,, Ústřední dálkové,,, MHD,, Třída D - Méně úsporná č. 78/2013 Sb. podle vyhlášky,, Částečně,
9451863,, LIHVR-235, Dnes, Smíšená, Ve výstavbě,,3,50,53,,,,,,,,,,,,,, Třída B - Velmi úsporná č. 78/2013 Sb. podle vyhlášky,,,
15950000,, B50078507, Dnes, Cihlová, Novostavba,,5,128,128,,,,,,,,, Ústřední dálkové,,,,, Třída C - Úsporná,,,
13499000,, B50079172, Dnes, Cihlová, Po rekonstrukci,,3,94,94,,,,,,,,, Lokální plynové,,,,, Třída D - Méně úsporná,,,
11497000, celková cena včetně provize a souvisejících služeb, DM-214NB, Dnes, Smíšená, Dobrý,,1,89,,50,,,,,,, Dálkový vodovod, Ústřední plynové, Plynovod," Telefon, Internet, Kabelová televize"," Silnice, MHD"," Dlážděná, Asfaltová", Třída G - Mimořádně nehospodárná,, Částečně,
10990000," včetně zajištění financování, včetně provize, včetně právního servisu, cena k jednání", 14421288, Dnes, Cihlová, Dobrý,,2,87,,,,,,,,, Dálkový vodovod, Ústřední plynové, Plynovod,," Vlak, Silnice, MHD, Autobus", Asfaltová,,, Částečně,
4600000," včetně provize, včetně právního servisu", 01721190, Dnes, Panelová, Velmi dobrý,,3,42,,,,,,,,,, Ústřední dálkové,,, MHD,, Třída D - Méně úsporná č. 78/2013 Sb. podle vyhlášky,, Částečně,
9451863,, LIHVR-235, Dnes, Smíšená, Ve výstavbě,,3,50,53,,,,,,,,,,,,,, Třída B - Velmi úsporná č. 78/2013 Sb. podle vyhlášky,,,
8754168,, LHVR-124, Dnes, Smíšená, Ve výstavbě,,2,46,49,,,,,,,,,,,,,, Třída B - Velmi úsporná č. 78/2013 Sb. podle vyhlášky,,,
5847009,, LIHVR-424, Dnes, Smíšená, Ve výstavbě,,2,28,30,,,,,,,,,,,,,, Třída B - Velmi úsporná č. 78/2013 Sb. podle vyhlášky,,,
8197000,, PPR-1042, Dnes, Smíšená, Ve výstavbě,,4,52,56,,4,,,,,,,,,,,, Třída B - Velmi úsporná č. 78/2013 Sb. podle vyhlášky,,,
21500000,, 228875, Dnes, Cihlová, Novostavba,,7,115,,,,20,5,,,,,,,,,, Třída B - Velmi úsporná č. 78/2013 Sb. podle vyhlášky,,,
6490000," včetně provize, včetně právního servisu", 04844, Dnes, Cihlová, Novostavba,,4,35,35,,,,5,, 1, 01.07.2023, Dálkový vodovod, Ústřední plynové,," Internet, Kabelová televize"," Vlak, Dálnice, Silnice, MHD, Autobus", Asfaltová, Třída B - Velmi úsporná č. 264/2020 Sb. podle vyhlášky,,,
